[perf] 81 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.02 | engine.ffi.lean p50=1.04 p95=1.52 max=1.68 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.04 | engine.deserialize p50=0.05 p95=0.08 max=0.22 | engine.total p50=1.19 p95=1.72 max=1.88 | frontend.slide p50=0.04 p95=0.08 max=0.12 | frontend.draw_input p50=0.36 p95=0.54 max=0.58 | frontend p50=0.44 p95=0.61 max=0.64 | egui p50=1.17 p95=1.95 max=2.41 | total p50=2.87 p95=4.11 max=4.71
[perf] 81 frames | engine.serialize p50=0.00 p95=0.01 max=0.03 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.03 | engine.ffi.lean p50=1.04 p95=1.58 max=1.77 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.03 | engine.deserialize p50=0.06 p95=0.10 max=0.12 | engine.total p50=1.22 p95=1.83 max=2.01 | frontend.slide p50=0.04 p95=0.08 max=0.11 | frontend.draw_input p50=0.29 p95=0.45 max=0.57 | frontend p50=0.35 p95=0.52 max=0.63 | egui p50=1.34 p95=2.17 max=2.97 | total p50=2.99 p95=4.37 max=5.35
[perf] 80 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.01 | engine.ffi.lean p50=1.37 p95=1.79 max=1.95 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.03 | engine.deserialize p50=0.07 p95=0.10 max=0.12 | engine.total p50=1.57 p95=2.10 max=2.19 | frontend.slide p50=0.04 p95=0.20 max=0.23 | frontend.draw_input p50=0.41 p95=0.86 max=1.38 | frontend p50=0.48 p95=1.07 max=1.52 | egui p50=1.53 p95=2.44 max=2.74 | total p50=3.69 p95=4.97 max=5.87
[perf] 81 frames | engine.serialize p50=0.00 p95=0.00 max=0.02 | engine.ffi.mk_string p50=0.00 p95=0.00 max=0.01 | engine.ffi.lean p50=1.01 p95=1.30 max=2.13 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.03 | engine.deserialize p50=0.05 p95=0.07 max=0.26 | engine.total p50=1.16 p95=1.45 max=2.26 | frontend.slide p50=0.04 p95=0.08 max=0.26 | frontend.draw_input p50=0.33 p95=0.55 max=1.00 | frontend p50=0.40 p95=0.64 max=1.28 | egui p50=1.04 p95=1.83 max=1.97 | total p50=2.63 p95=3.66 max=4.85
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.02 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.03 | engine.ffi.lean p50=1.36 p95=1.85 max=1.95 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.02 | engine.deserialize p50=0.07 p95=0.10 max=0.20 | engine.total p50=1.56 p95=2.15 max=2.32 | frontend.slide p50=0.04 p95=0.09 max=0.32 | frontend.draw_input p50=0.44 p95=0.71 max=0.98 | frontend p50=0.53 p95=0.79 max=1.32 | egui p50=1.38 p95=2.54 max=4.07 | total p50=3.47 p95=5.40 max=7.18
[perf] 81 frames | engine.serialize p50=0.00 p95=0.01 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.03 | engine.ffi.lean p50=1.60 p95=1.97 max=3.57 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.07 | engine.deserialize p50=0.07 p95=0.11 max=0.17 | engine.total p50=1.81 p95=2.27 max=3.79 | frontend.slide p50=0.05 p95=0.21 max=0.42 | frontend.draw_input p50=0.51 p95=0.85 max=2.01 | frontend p50=0.58 p95=1.13 max=2.20 | egui p50=1.58 p95=2.74 max=3.33 | total p50=4.01 p95=5.63 max=6.73
[perf] 80 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.00 max=0.01 | engine.ffi.lean p50=1.00 p95=1.32 max=2.66 | engine.ffi.into_string p50=0.01 p95=0.04 max=0.12 | engine.deserialize p50=0.05 p95=0.09 max=0.13 | engine.total p50=1.17 p95=1.51 max=3.16 | frontend.slide p50=0.04 p95=0.07 max=0.17 | frontend.draw_input p50=0.20 p95=0.31 max=0.43 | frontend p50=0.25 p95=0.36 max=0.61 | egui p50=1.03 p95=1.94 max=3.34 | total p50=2.47 p95=3.69 max=4.84
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.03 | engine.ffi.lean p50=1.56 p95=1.87 max=1.98 | engine.ffi.into_string p50=0.02 p95=0.04 max=0.24 | engine.deserialize p50=0.08 p95=0.13 max=0.20 | engine.total p50=1.81 p95=2.19 max=2.28 | frontend.slide p50=0.04 p95=0.07 max=0.20 | frontend.draw_input p50=0.26 p95=0.51 max=0.58 | frontend p50=0.33 p95=0.58 max=0.65 | egui p50=1.53 p95=2.13 max=2.74 | total p50=3.74 p95=4.58 max=5.09
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.02 | engine.ffi.lean p50=1.63 p95=1.92 max=2.07 | engine.ffi.into_string p50=0.02 p95=0.03 max=0.07 | engine.deserialize p50=0.08 p95=0.11 max=0.27 | engine.total p50=1.87 p95=2.29 max=3.10 | frontend.slide p50=0.04 p95=0.07 max=0.27 | frontend.draw_input p50=0.30 p95=0.39 max=0.76 | frontend p50=0.36 p95=0.47 max=1.04 | egui p50=1.65 p95=2.82 max=3.91 | total p50=3.92 p95=5.18 max=7.46
[perf] 81 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.13 | engine.ffi.lean p50=1.07 p95=1.68 max=2.01 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.02 | engine.deserialize p50=0.05 p95=0.09 max=0.11 | engine.total p50=1.22 p95=1.87 max=2.16 | frontend.slide p50=0.04 p95=0.07 max=0.17 | frontend.draw_input p50=0.20 p95=0.33 max=0.72 | frontend p50=0.25 p95=0.39 max=0.83 | egui p50=1.03 p95=1.85 max=3.25 | total p50=2.67 p95=4.31 max=4.77
[perf] 80 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.06 | engine.ffi.lean p50=1.13 p95=1.91 max=2.20 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.05 | engine.deserialize p50=0.06 p95=0.11 max=0.40 | engine.total p50=1.35 p95=2.25 max=2.91 | frontend.slide p50=0.04 p95=0.08 max=0.26 | frontend.draw_input p50=0.24 p95=0.48 max=0.64 | frontend p50=0.30 p95=0.54 max=0.91 | egui p50=1.13 p95=2.43 max=3.57 | total p50=2.80 p95=5.02 max=6.22
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.08 | engine.ffi.mk_string p50=0.01 p95=0.01 max=0.15 | engine.ffi.lean p50=1.73 p95=3.44 max=3.65 | engine.ffi.into_string p50=0.02 p95=0.03 max=0.06 | engine.deserialize p50=0.08 p95=0.13 max=0.58 | engine.total p50=1.96 p95=3.73 max=3.89 | frontend.slide p50=0.05 p95=0.14 max=0.30 | frontend.draw_input p50=0.29 p95=0.51 max=1.44 | frontend p50=0.37 p95=0.57 max=1.89 | egui p50=1.61 p95=2.65 max=3.13 | total p50=3.96 p95=6.62 max=6.83
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.03 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.19 | engine.ffi.lean p50=1.77 p95=2.07 max=3.74 | engine.ffi.into_string p50=0.02 p95=0.03 max=0.04 | engine.deserialize p50=0.08 p95=0.11 max=0.12 | engine.total p50=2.01 p95=2.34 max=3.96 | frontend.slide p50=0.04 p95=0.08 max=0.27 | frontend.draw_input p50=0.30 p95=0.51 max=1.65 | frontend p50=0.37 p95=0.62 max=1.71 | egui p50=1.68 p95=2.78 max=4.38 | total p50=4.06 p95=5.73 max=7.04
[perf] 80 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.01 | engine.ffi.lean p50=1.77 p95=2.13 max=3.35 | engine.ffi.into_string p50=0.02 p95=0.03 max=0.07 | engine.deserialize p50=0.08 p95=0.13 max=0.29 | engine.total p50=2.00 p95=2.43 max=3.57 | frontend.slide p50=0.04 p95=0.06 max=0.21 | frontend.draw_input p50=0.29 p95=0.42 max=0.87 | frontend p50=0.36 p95=0.51 max=1.07 | egui p50=1.68 p95=2.65 max=2.90 | total p50=4.10 p95=5.36 max=6.19
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.10 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.01 | engine.ffi.lean p50=1.73 p95=2.17 max=3.71 | engine.ffi.into_string p50=0.02 p95=0.03 max=0.04 | engine.deserialize p50=0.08 p95=0.11 max=0.14 | engine.total p50=1.97 p95=2.52 max=4.19 | frontend.slide p50=0.04 p95=0.14 max=0.22 | frontend.draw_input p50=0.36 p95=0.79 max=2.02 | frontend p50=0.43 p95=0.91 max=2.19 | egui p50=1.61 p95=2.54 max=4.47 | total p50=4.03 p95=5.75 max=9.09
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.01 | engine.ffi.lean p50=1.23 p95=2.35 max=3.16 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.03 | engine.deserialize p50=0.05 p95=0.09 max=0.20 | engine.total p50=1.40 p95=2.50 max=3.41 | frontend.slide p50=0.04 p95=0.09 max=0.16 | frontend.draw_input p50=0.43 p95=0.82 max=2.17 | frontend p50=0.49 p95=0.88 max=2.26 | egui p50=1.28 p95=2.74 max=3.32 | total p50=3.24 p95=6.15 max=7.01
[perf] 81 frames | engine.serialize p50=0.00 p95=0.01 max=0.03 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.02 | engine.ffi.lean p50=1.48 p95=1.97 max=2.16 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.02 | engine.deserialize p50=0.07 p95=0.12 max=0.27 | engine.total p50=1.68 p95=2.35 max=2.55 | frontend.slide p50=0.05 p95=0.08 max=0.27 | frontend.draw_input p50=0.41 p95=0.70 max=1.43 | frontend p50=0.49 p95=0.77 max=1.81 | egui p50=1.68 p95=2.99 max=4.31 | total p50=3.89 p95=5.94 max=7.12
